"","OTU","VB0889_004","VB0889_006","VB0889_008","VB0889_015","VB0889_016","VB0889_017","VB0889_018","VB0889_020","VB0889_021","VB0889_023","VB0889_024","VB0889_025","VB0889_028","VB0889_030","VB0889_031","VB0889_032","VB0889_038","VB0889_042","VB0889_044","VB0889_047","VB0889_048","VB0889_049","VB0889_050","VB0889_051","VB0889_052","VB0889_057","VB0889_060","VB0889_068","VB0889_070","VB0889_072","VB0889_073","VB0889_074","VB0889_075","VB0889_076","VB0889_077","VB0889_078","VB0889_081","VB0889_082","VB0889_083","VB0889_084","VB0889_085","VB0889_086","VB0889_090","VB0889_091","VB0889_097","VB0889_099","VB0889_101","VB0889_102","VB0889_107","VB0889_114","VB0889_117","VB0889_119","VB0889_126","VB0889_127","VB0889_128","VB0889_131","VB0889_136","VB0889_137"
"173","Fungi_Basidiomycota_Agaricomycetes_Agaricales_Entolomataceae_Entoloma_Entoloma_incarnatofuscescens_4b3ffeaace8ae463013076f2dac65b6f",1,1,0,0,0,8,0,4,0,3,1,1,0,0,0,0,0,0,0,10,0,2,0,5,2,0,0,0,0,2,5,4,6,1,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,10,0,3,0,0,1,4,0
"174","Fungi_Ascomycota_Sordariomycetes_unclassified_unclassified_unclassified_unclassified_a9b8b644c6343b81158868e41d5f19fb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175","Fungi_Ascomycota_Sordariomycetes_unclassified_unclassified_unclassified_unclassified_84bb202a6e73c1350e937c744388e33f",18,0,43,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,39,0,12,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,97,0
"176","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_3f3326f462840349482d17494188ac0f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0
"177","Fungi_Ascomycota_Sordariomycetes_unclassified_unclassified_unclassified_unclassified_0a5cf29b58d3b0e8732ecb5baebd055f",0,5,0,0,0,2,1,2,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,40,27,0,0,12,0,0,6,0,0,0,0,0,0,15,0,0,0,0,0,0,30,0,3
"178","Fungi_Basidiomycota_Tremellomycetes_Filobasidiales_Filobasidiaceae_Filobasidium_Filobasidium_magnum_de7783a444ca551e84b76f1b74e2db75",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,54,0,0,0,0,2,0,0,0,0,0,0,0,0,0,30,0,0,0,0,2,0,7,0,0,5,0,0,0,0,9,1,0,0,0,11,0,39
"179","Fungi_Ascomycota_Sordariomycetes_Sordariales_Naviculisporaceae_Pseudorhypophila_Pseudorhypophila_marina_93c3ead94194e73a6dbc5b5c353ec618",0,0,0,0,0,23,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
"180","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_f9d2ac0772f38c79c1d2de64337579d7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0
"181","Fungi_Ascomycota_Sordariomycetes_Branch06_Branch06_fam_Incertae_sedis_Branch06_gen_Incertae_sedis_Branch06_sp_5fcab37a2989ff02829e8ebd8f03cfdf",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"182","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Funneliformis_Funneliformis_mosseae_f7975a25c789a30c5493427ac05c4114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"183","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Preussia_Preussia_sp_cc9d91dce30338e5c516f778527927fb",0,0,0,1,4,0,0,4,9,0,0,0,2,0,0,0,6,0,0,12,4,8,3,0,0,11,3,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,3,0,0,0,1,0,0,0,6,0
"184","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_unclassified_unclassified_bd02709e3ca000581cc08afc9df9cf0b",0,0,0,9,0,0,0,0,3,0,0,0,0,0,7,0,0,14,0,0,0,0,11,0,8,0,7,0,2,0,0,0,17,9,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"185","Fungi_Basidiomycota_Agaricomycetes_Thelephorales_Thelephoraceae_Amaurodon_Amaurodon_mustialaensis_8ba6920baec8ee2300c3f4a312c5315f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186","Fungi_Ascomycota_Sordariomycetes_Sordariales_Lasiosphaeriaceae_Zygopleurage_Zygopleurage_sp_af5e14d5f8ac93f4ef24d51d1aced722",0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,18,0,12,9,0,3,0,0,2,0,0,16,0,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"187","Fungi_Basidiomycota_Microbotryomycetes_Sporidiobolales_Sporidiobolaceae_Rhodotorula_Rhodotorula_graminis_12d80260887332b400b7dc370f7128ca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,6
"188","Fungi_Ascomycota_Sordariomycetes_Sordariales_Sordariaceae_Neurospora_unclassified_00a40b6b56091079884cc3e658f860a6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0
"189","Fungi_Ascomycota_Sordariomycetes_Lulworthiales_Lulworthiaceae_Lulworthiaceae_gen_Incertae_sedis_Lulworthiaceae_sp_f27adfed16d343aabef0234216acf882",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190","Fungi_Rozellomycota_Rozellomycota_cls_Incertae_sedis_Rozellomycota_ord_Incertae_sedis_Rozellomycota_fam_Incertae_sedis_Rozellomycota_gen_Incertae_sedis_Rozellomycota_sp_db79e4121b1894acb51635bc0551789d",2,0,0,0,0,0,0,11,0,6,0,0,1,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,20,0,0,0,0,0,0,0,0,5,14,0,0,0,0,3,0,1,0,0,4
"191","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_e24658d17c242d0c7405a701f81f0ac2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_9b4fa1d8c77eb3ad2a5751f66c25d6a3",15,0,0,7,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,0,0,0,0,0,0,0,16,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"193","Fungi_Ascomycota_Sordariomycetes_Sordariales_unclassified_unclassified_unclassified_d18c2ec9ac6ccf6928c8076f2054c9f8",0,0,0,0,60,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"194","Fungi_Ascomycota_Sordariomycetes_unclassified_unclassified_unclassified_unclassified_55b13d2d0d0b466b03bf25e83f5c8b9b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"195","Fungi_Ascomycota_Sordariomycetes_unclassified_unclassified_unclassified_unclassified_0ea1f2793f8ef4fe979402d072c2e172",0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,8,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"196","Fungi_Ascomycota_Sordariomycetes_Coniochaetales_Coniochaetaceae_Coniochaeta_Coniochaeta_sp_844e9db295b8717aa6c0d4bacf7827f8",2,0,0,0,1,4,0,0,0,0,0,0,0,2,0,0,2,5,11,5,0,1,2,2,0,2,0,0,0,0,5,1,3,0,2,0,1,0,0,1,0,0,0,0,0,3,11,1,1,0,0,5,0,6,0,4,0,2
"197","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Acrophialophora_Acrophialophora_jodhpurensis_42f5b262741af0b5df0b2ad9be293b31",0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,49
"198","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreaceae_Kiflimonium_Kiflimonium_curvulum_2ca8384c5e12735833182446c76ab367",0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,32,0,4
"199","Fungi_Mortierellomycota_unclassified_unclassified_unclassified_unclassified_unclassified_ce70b03e07f3a05fadd44e8f33730b17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,10,0,0
"200","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Pleosporaceae_Curvularia_Curvularia_fallax_86b9877b9fed75133bf20249f42a981c",0,0,0,0,0,0,9,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,3,0,0,3,0,4,0,20,0,0,0,0,0,0,0,0
"201","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Rhizophagus_Rhizophagus_sp_2d7ce04711aa3846fddfcd63662a9297",0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_e96a8b1e9df428fc5cb2f735b13850a8",4,0,0,0,1,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,1,0,0,4,0,0,8,1,0,2,0,0,0,0,3,0,0,6,0,0,2,0,1,0,0,1,2,0,4,0,0
"203","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_e9566711bc76fa337041478485c98e1c",0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,37,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,6,0,1,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,11,0,0
"204","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Funneliformis_Funneliformis_mosseae_442782ac585085e032cddad2fe531a8e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,8
"205","Fungi_Basidiomycota_Agaricomycetes_Corticiales_Corticiaceae_Waitea_Waitea_circinata_943cddda6adc08cb7ae8962137a6ae1b",0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"206","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Hypocreales_gen_Incertae_sedis_Hypocreales_sp_521e74246fa8f8a60fec5aa5c578f1f5",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,112,0,0,0,0,0,0,0,0,0,30,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"207","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Septoglomus_unclassified_dbdbd970cd23ef7628a83a75d985d836",22,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,23,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208","Fungi_Glomeromycota_Paraglomeromycetes_Paraglomerales_Pervetustaceae_Pervetustaceae_gen_Incertae_sedis_Pervetustaceae_sp_18245a8c2eab1b152b1c25ce5ffb2d1b",0,0,0,0,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"209","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_unclassified_unclassified_4540b0c392184b5ebcedea0732563515",0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,16,0,5,0,1,0,6,0,9,0,26,24,0,0,0,0,0,3,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,5,0
"210","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Rhizophagus_Rhizophagus_custos_8dac40f0191c1a4f0d774563cffbae04",0,16,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"211","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Funneliformis_Funneliformis_mosseae_4a6cf0d907af613513a265d35ed0c32e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"212","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Bisifusarium_Bisifusarium_delphinoides_072d1d528ab518c646cf7e9244289d8f",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"213","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Septoglomus_unclassified_23cebcd3c7e12ffbb3e71653fbcc8163",0,17,0,2,8,7,0,4,0,1,0,4,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,23,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
"214","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Chaetomiaceae_gen_Incertae_sedis_Chaetomiaceae_sp_417391bace3e1add6a96a8a271159667",0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_85e9a4340f36f8ddabaaac3f0d8f336a",0,0,0,12,0,15,0,0,0,0,8,3,3,4,0,0,3,0,1,0,0,5,7,0,7,13,0,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,4,2,0,0,2,0,0,19,0,6,6,0,0,0,0
"216","Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_Aspergillus_flavus_e9af39e705e63c1e9b916bc6b8816f79",0,16,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"217","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Fusarium_Fusarium_fujikuroi_43f877eb04296eac51579e1d27fa346f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"218","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Glomeraceae_gen_Incertae_sedis_Glomeraceae_sp_3894ec76fad5fbf9265db78adf565b57",0,0,0,2,0,0,7,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"219","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_ff8398ba93fd026958c610210a567a75",0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"220","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_ba41d1062f1e8ad1b97194ebe03cd24c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"221","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_01c1843e1d6ada28dfc87323d9d3149f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,43,0,0,0,0,0,0
"222","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_b461803ce31f330de0931ca0cbbbc4b3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,15,0,0,0,0,16,0,0,0,0,0,0,9,0,0,25,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"223","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_unclassified_unclassified_7745acbab56574932c8fc12cc8e3a711",0,0,0,0,0,0,0,0,0,0,0,0,0,59,74,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"224","Fungi_Ascomycota_Sordariomycetes_unclassified_unclassified_unclassified_unclassified_74c834d7751f2559f0b3da230671c9f0",0,0,11,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
"225","Fungi_Basidiomycota_Agaricomycetes_Cantharellales_Ceratobasidiaceae_unclassified_unclassified_7088eadc1b364c428652a73084937251",23,0,35,46,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"226","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_9d5d0e886528c0b185a39bd957b28061",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,1,0,0,0,3,0,0,0,0,0,0,2,0,4,0
"227","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_61d451dab4f8d3e49944306f2485c4d4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"228","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_da09f7442436b9fc85af67e8f029128b",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"229","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Leucosphaerina_Leucosphaerina_sp_7eb5c4eeaebba3f33dfc89304d536d23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"230","Fungi_Mortierellomycota_Mortierellomycetes_Mortierellales_Mortierellaceae_Mortierella_unclassified_4150fbf5dbac2486940706a04acf9530",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,113,3,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"231","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Hypocreales_gen_Incertae_sedis_Hypocreales_sp_407870b5892c179d1983571aef2f988c",0,73,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"232","Fungi_Ascomycota_Orbiliomycetes_Orbiliales_Orbiliaceae_Arthrobotrys_Arthrobotrys_sp_efc40bb5341ee05ab9abddc554381f82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0
"233","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_d21d9b2bc12509414fe524790d61b317",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"234","Fungi_Ascomycota_Sordariomycetes_Branch06_Branch06_fam_Incertae_sedis_Branch06_gen_Incertae_sedis_Branch06_sp_d6def105fcebeb76eb8a5c703e8c4e20",9,0,0,0,0,0,0,0,0,0,19,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"235","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Acremonium_Acremonium_acutatum_a6141c0f6bb3750205c3cda5167476f3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
"236","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Septoglomus_Septoglomus_sp_5a62fddc39f01f8e9cef8a0a6d2ec2df",17,0,0,0,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"237","Fungi_Ascomycota_Pezizomycotina_cls_Incertae_sedis_Pezizomycotina_ord_Incertae_sedis_Pezizomycotina_fam_Incertae_sedis_Hormiactis_Hormiactis_sp_36ded8d110aab80c6740dee6ae4a598c",0,4,0,3,1,0,0,4,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"238","Fungi_Ascomycota_Sordariomycetes_Sordariales_Sordariaceae_unclassified_unclassified_59ec25c8eb4f24c78f693fee2b3a5251",78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"239","Fungi_Ascomycota_Sordariomycetes_Sordariales_unclassified_unclassified_unclassified_db5db5a8904f8043b0751ca28ae7dac0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,0,0
"240","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_2372ef8b67c7e67d1227b3d5a02fba60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"241","Fungi_Ascomycota_Leotiomycetes_Helotiales_Helotiaceae_Scytalidium_Scytalidium_sphaerosporum_f58c597c8fe599cbee414268c9af2e93",0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,2,0,5,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,6,0,4,0,2,0,0,0,0,0,2
"242","Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Talaromyces_Talaromyces_pinophilus_1b059b536a76ee3085da1521df12c5b4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,45,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
